latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp
28.20674,80.21323,343.2,0.38,0.59,2017-10-13,0827,N,VIIRS,n,1,299,3
28.0846,80.19424,338.4,0.39,0.44,2017-10-14,0808,N,VIIRS,n,1,305.3,3.6
28.15056,80.12402,330.6,0.39,0.44,2017-10-14,0808,N,VIIRS,n,1,303.6,2.7
28.22356,80.30231,341.4,0.4,0.44,2017-10-14,0808,N,VIIRS,n,1,305.8,3
28.16815,80.14383,334.7,0.39,0.36,2017-10-15,0749,N,VIIRS,l,1,307.6,5.2
28.69524,79.23497,340.9,0.53,0.42,2017-10-14,0808,N,VIIRS,n,1,308.1,9.1
28.5856,79.42443,337.9,0.38,0.36,2017-10-15,0749,N,VIIRS,n,1,304.7,1.9
28.58444,79.40949,330.3,0.51,0.41,2017-10-16,0730,N,VIIRS,n,1,305.1,3.6
28.59213,80.05493,330.5,0.37,0.58,2017-10-13,0827,N,VIIRS,n,1,297.9,1.9
28.594,80.05462,331,0.37,0.58,2017-10-13,0827,N,VIIRS,n,1,297.5,2
27.18844,81.24928,335.7,0.38,0.36,2017-10-10,0742,N,VIIRS,n,1,304.5,4.6
27.29655,81.20182,333.8,0.38,0.36,2017-10-10,0742,N,VIIRS,n,1,302.1,2.4
27.27451,81.16856,331.5,0.52,0.42,2017-10-11,0724,N,VIIRS,n,1,299.1,5.6
27.08737,81.2614,338.5,0.4,0.37,2017-10-15,0749,N,VIIRS,n,1,309.6,5.4
28.97226,79.92431,337.2,0.48,0.4,2017-10-16,0730,N,VIIRS,n,1,304.9,4.8
28.06566,79.58718,336.4,0.54,0.42,2017-10-14,0808,N,VIIRS,n,1,306.1,4.7
28.2264,79.24329,334.3,0.4,0.6,2017-09-10,0705,N,VIIRS,n,1,297.6,3.2
28.31074,79.65738,339.3,0.5,0.41,2017-10-16,0730,N,VIIRS,n,1,303.8,5.8
28.19245,80.41072,331.6,0.55,0.43,2017-10-11,0724,N,VIIRS,n,1,298.8,4
28.23203,80.33543,342.6,0.39,0.36,2017-10-15,0749,N,VIIRS,n,1,304.8,5.2
28.73902,79.76096,332.2,0.39,0.44,2017-10-11,0724,N,VIIRS,n,1,299.2,2.6
28.6691,79.72626,342.4,0.36,0.57,2017-10-13,0827,N,VIIRS,n,1,299.8,4.9
28.68408,79.70057,338.3,0.39,0.36,2017-10-15,0749,N,VIIRS,n,1,306.2,2.7
28.71155,79.67918,336.3,0.39,0.36,2017-10-15,0749,N,VIIRS,n,1,305.5,4.4
27.99478,80.12143,332.4,0.42,0.38,2017-10-04,0755,N,VIIRS,n,1,299.9,3.3
28.01324,80.10123,333.3,0.42,0.38,2017-10-05,0736,N,VIIRS,n,1,301.2,3
28.05452,79.91675,336.1,0.43,0.38,2017-10-05,0736,N,VIIRS,n,1,299.7,3.9
27.98135,80.10413,367,0.45,0.63,2017-10-07,0659,N,VIIRS,h,1,299.2,10.2
